sample,measured,sigma_external,raw_median,raw_p25,raw_p75,ordered_median,ordered_p25,ordered_p75,shift_pct
CT-1,22.9,1.86,22.894528209569035,21.65168684327554,24.15093754001416,22.894528209569035,21.65168684327554,24.15093754001416,0.0
CT-2,94.8,7.73,94.82909967648074,89.60819224384859,100.06293418645376,94.82909967648074,89.60819224384859,100.06293418645376,0.0
CT-3,29.5,2.42,29.489297461139923,27.861298475007832,31.12372388237448,29.491475353119657,27.870811474564174,31.134232235076837,0.007385364071854639
CT-4,29.6,2.44,29.60027343012193,27.949711287663558,31.239638042058395,29.60027343012193,27.949711287663558,31.239638042058395,0.0
CT-5,387.0,32.0,386.955756798583,365.2706640171672,408.6522990397068,413.6386314330058,395.5296568627892,431.69582063803625,6.8955879750127735
CT-6,29.8,2.44,29.803608489442162,28.15974793017748,31.457155195557586,29.78747433429713,28.17234377596121,31.45481771704816,-0.05413490500906226
CT-7,532.0,52.0,532.4124292008169,497.3130261346107,567.1018739083962,532.4124292008169,497.3130261346107,567.1018739083962,0.0
CT-8,263.0,22.9,263.0260075208839,247.46139418695304,278.5259008920375,262.87840380327356,247.52074938812223,278.3170782847351,-0.056117537197775125
CT-9,105.0,8.55,105.01987350210209,99.21992991732172,110.8289429204216,105.01987350210209,99.21992991732172,110.8289429204216,0.0
CT-10,246.0,21.3,246.1609857385606,231.78984014022592,260.41106515446484,246.29838647672545,231.93280078453063,260.47913276047717,0.05581743091929159
CT-11,286.0,24.5,285.97715468043407,269.4420305844662,302.42555488115283,285.8744661868058,269.21516934098156,302.45282822795383,-0.03590793598285957
