scenario,Q_ordered,Q_unordered,Q_change_pct,F_ordered,F_unordered,F_change_pct,n_ordered,n_unordered
CT-5 & CT-6 to CT-4,0.011659316770407036,0.012719345563346227,9.091688765414553,0.09724606024610138,0.09918839923725617,1.9973446597623568,55528,55330
CT-5 & CT-6 to CT-10,3.5001089041261793,4.576352065170411,30.748847836576722,28.472241631923886,34.980820271804944,22.859382566434295,99802,97390
CT-5 & CT-6 to CT-11,7.420609789884084,10.128546921942668,36.4921106045772,60.60218554438238,78.58445368384557,29.67263965470974,91316,74067
CT-5 & CT-6 to CT-8.2,4.806090181564565,6.500142883078712,35.24804232788383,39.16940321881815,49.93289422432931,27.479333666079597,98387,90711
