CT-10,CT-3
0.8219529475551481,0.1780470524448519
0.8322377387156582,0.16776226128434168
0.8169757838517582,0.18302421614824194
0.769102129130623,0.23089787086937702
0.7528397487123881,0.24716025128761185
0.8272077306794088,0.17279226932059116
0.7818342609664004,0.21816573903359965
0.7788103053519785,0.22118969464802138
0.7459697143469688,0.2540302856530312
0.8376491505161628,0.1623508494838371
0.8215349231775166,0.17846507682248347
0.787701150872935,0.21229884912706512
0.7815029339647078,0.21849706603529223
0.8044399973453767,0.1955600026546232
0.7693611524476279,0.23063884755237202
0.758238493226151,0.241761506773849
0.8318731508221097,0.16812684917789053
0.8139126903721536,0.18608730962784664
0.8466019031305259,0.15339809686947406
0.8373995196876303,0.16260048031236976
0.826965766836365,0.17303423316363484
0.8339079341766898,0.16609206582331026
0.8087649210061932,0.1912350789938067
0.8266386611002051,0.17336133889979488
0.8133599364218401,0.18664006357815988
0.7871858774923793,0.2128141225076208
0.8280225010631596,0.17197749893684053
0.8133253829676182,0.18667461703238164
0.8769664132039079,0.12303358679609197
0.7162559763436527,0.28374402365634743
0.8301608027585994,0.1698391972414005
0.8041150667203449,0.19588493327965514
0.8010062090708667,0.1989937909291332
0.8601149792320171,0.13988502076798287
0.8223197537836409,0.17768024621635922
0.7997012916541709,0.20029870834582925
0.7961281627090145,0.2038718372909854
0.849177799748222,0.15082220025177792
0.754712370925061,0.245287629074939
0.8714199708169128,0.1285800291830873
0.817189994532639,0.18281000546736118
0.7954570317843069,0.2045429682156931
0.9013349888919555,0.0986650111080446
0.8655201475468673,0.13447985245313282
0.8320051654807881,0.1679948345192119
0.7962581465675747,0.20374185343242532
0.8215347853799917,0.17846521462000833
0.7822277847692133,0.21777221523078666
0.7431877087359763,0.2568122912640237
0.8404923531740779,0.1595076468259222
0.7912891614114173,0.20871083858858291
0.7604141407701402,0.23958585922985987
0.8180610258100152,0.1819389741899848
0.7845059013051552,0.2154940986948448
0.8544580488644031,0.14554195113559681
0.8212074788332275,0.17879252116677255
0.8782293026047158,0.1217706973952842
0.7321890030882255,0.2678109969117746
0.7871979152476206,0.21280208475237924
0.8133630235257201,0.1866369764742799
0.8766889163549724,0.12331108364502757
0.8037213490153935,0.19627865098460653
0.857646489382651,0.14235351061734888
0.8463777379839841,0.15362226201601592
0.8887665721847394,0.11123342781526058
0.8303903199850136,0.1696096800149865
0.8135195544557023,0.18648044554429763
0.7573797827269283,0.24262021727307165
0.8130666751732412,0.18693332482675884
0.8042715919128494,0.19572840808715067
0.7997782458582635,0.20022175414173654
0.7769593273573413,0.22304067264265853
0.834576753456961,0.1654232465430389
0.80876523908334,0.19123476091666
0.804221044851541,0.19577895514845892
0.8492056213004647,0.15079437869953533
0.813975092909443,0.18602490709055702
0.7791742286973682,0.22082577130263192
0.847264246709015,0.15273575329098513
0.8041439300887401,0.19585606991125995
0.8414949228131138,0.15850507718688617
0.8134382104575107,0.18656178954248925
0.7805709820690063,0.21942901793099368
0.7962584617881372,0.20374153821186292
0.7589949169031687,0.24100508309683144
0.8428694276785446,0.15713057232145544
0.790891629087729,0.20910837091227097
0.8130436674762522,0.18695633252374771
0.7706104461495487,0.22938955385045148
0.8325521748709387,0.1674478251290613
0.8175557611921006,0.1824442388078993
0.8210155197086055,0.17898448029139452
0.7857887364462002,0.21421126355379982
0.8574853205452324,0.14251467945476767
0.8624210074970072,0.13757899250299266
0.8274646489640806,0.1725353510359195
0.8526143375617,0.1473856624383001
0.8322755794606629,0.1677244205393372
0.7948976277994804,0.20510237220051963
0.7652829301548533,0.23471706984514665
0.886252223390294,0.11374777660970607
0.8861281872192454,0.11387181278075466
0.7819019220083329,0.21809807799166708
0.7582174117011655,0.24178258829883442
0.8453194496971336,0.15468055030286654
0.7333199069865913,0.26668009301340884
0.8174126650755432,0.18258733492445678
0.7837505184212049,0.21624948157879523
0.8182771279664321,0.1817228720335678
0.7833589062767682,0.21664109372323184
0.798862603334372,0.2011373966656281
0.785275794462739,0.21472420553726107
0.7599937850133298,0.24000621498667016
0.8087650988729057,0.19123490112709426
0.7945747731150721,0.205425226884928
0.8276837475567989,0.17231625244320117
0.7914651354710242,0.20853486452897593
0.7944246954942309,0.20557530450576916
0.8645417777571194,0.13545822224288048
0.75763572633457,0.24236427366542998
0.8555143171094469,0.1444856828905531
0.8522446786615699,0.14775532133843008
0.8505970018473044,0.1494029981526958
0.8269395652315837,0.17306043476841623
0.7551436946841452,0.24485630531585476
0.7571419880671025,0.24285801193289738
0.8318639960711968,0.16813600392880318
0.767501557104607,0.23249844289539306
0.8341710794693911,0.1658289205306089
0.7768425992146873,0.2231574007853127
0.7914534294870277,0.20854657051297232
0.8230689452448045,0.17693105475519558
0.7657455166274059,0.23425448337259414
0.7676950666870259,0.23230493331297408
0.8174149568775566,0.18258504312244334
0.8164227836677825,0.18357721633221738
0.828530825389383,0.17146917461061703
0.7524327231272228,0.24756727687277735
0.8505138989388911,0.149486101061109
0.7996272420639519,0.20037275793604822
0.7827709500077763,0.21722904999222375
0.7750872924747404,0.2249127075252597
0.8366582814224135,0.1633417185775864
0.7737383113869649,0.22626168861303517
0.7732330684512264,0.2267669315487735
0.77902326877348,0.2209767312265199
0.7876198205608925,0.2123801794391075
0.8557865357417243,0.14421346425827566
0.7752380989211775,0.2247619010788226
0.7356562608655918,0.2643437391344082
0.7223719820155826,0.2776280179844174
0.8130669578373907,0.1869330421626093
0.8474840534925278,0.15251594650747233
0.7873693263270523,0.21263067367294775
0.8580801586312123,0.14191984136878766
0.7829533659127705,0.2170466340872295
0.787481581906961,0.21251841809303895
0.8067519042721223,0.19324809572787774
0.8405989984778098,0.15940100152219017
0.8332048713476053,0.16679512865239468
0.8463825083593077,0.15361749164069227
0.8364947528510637,0.16350524714893633
0.846066643374267,0.15393335662573293
0.8241519190601683,0.17584808093983187
0.8210814832798117,0.17891851672018827
0.7961279353290686,0.20387206467093139
0.7731135518496983,0.22688644815030165
0.8093322157020694,0.1906677842979306
0.7759225380397855,0.22407746196021455
0.8171684935624954,0.1828315064375048
0.7544920951785172,0.24550790482148285
0.8255251575904059,0.17447484240959427
0.8607903741910425,0.13920962580895743
0.8040901380739021,0.19590986192609805
0.7628128823497307,0.2371871176502694
0.8460916149197689,0.15390838508023105
0.876515962411143,0.12348403758885702
0.7471109258362525,0.2528890741637475
0.7650479134151889,0.23495208658481126
0.7696579796570112,0.23034202034298892
0.7614436320614749,0.23855636793852514
0.7548472475088938,0.24515275249110635
0.7943233805014965,0.20567661949850352
0.7830284333591638,0.21697156664083614
0.8072578894907029,0.1927421105092972
0.8140780785947529,0.18592192140524727
0.8064782054654847,0.19352179453451535
0.7778418407811789,0.22215815921882107
0.831483318393705,0.16851668160629493
0.821533937704836,0.178466062295164
0.7961934833100905,0.20380651668990943
0.7724156086678543,0.22758439133214547
0.822022061715868,0.17797793828413197
0.7874175355848599,0.2125824644151401
0.7994443012395025,0.2005556987604975
0.800426987706577,0.19957301229342292
0.8045306893241875,0.19546931067581247
0.8174620901709757,0.1825379098290242
0.8382511229732502,0.16174887702674973
0.7530499744621784,0.24695002553782167
0.7855246525739791,0.214475347426021
0.901328782442733,0.09867121755726697
0.8804814008373515,0.11951859916264845
0.7921749250839472,0.20782507491605284
0.8216706823150863,0.17832931768491367
0.7863589708419696,0.21364102915803043
0.7483435815635313,0.25165641843646863
0.8347160179770142,0.16528398202298583
0.7960610780211359,0.20393892197886407
0.8608572116794984,0.13914278832050153
0.8170153555190534,0.1829846444809467
0.7700725565429851,0.2299274434570148
0.7875929385728637,0.21240706142713617
0.8784863031439468,0.12151369685605312
0.8565953771758483,0.14340462282415167
0.783623358199337,0.21637664180066313
0.8041433024104597,0.1958566975895404
0.8156247145535664,0.18437528544643353
0.7648309213185429,0.23516907868145712
0.7953323058039364,0.20466769419606362
0.7762517791438215,0.22374822085617854
0.787367629064389,0.21263237093561108
0.8297156731405366,0.1702843268594634
0.8133862715981282,0.18661372840187196
0.783879734022298,0.21612026597770193
0.8783433141562959,0.12165668584370411
0.7550382483538634,0.2449617516461368
0.7797311865316565,0.2202688134683435
0.8392028214413988,0.16079717855860134
0.8691897742970597,0.13081022570294035
0.8325276191261204,0.16747238087387953
0.8466008808249149,0.1533991191750851
0.8087649412948014,0.19123505870519852
0.7936769141014245,0.2063230858985757
0.7952102326163745,0.20478976738362564
0.7954809199855277,0.20451908001447233
0.850537772575338,0.14946222742466198
0.7998416660745539,0.20015833392544607
0.7664212042179123,0.23357879578208782
0.8364934514803412,0.1635065485196589
0.838532344191798,0.16146765580820205
0.7830338416967417,0.21696615830325827
0.84148934303793,0.15851065696207003
0.7771390766021805,0.22286092339781954
0.7953873830016305,0.20461261699836947
0.8299357955514357,0.17006420444856443
0.8186997343874444,0.18130026561255563
0.846164526422457,0.15383547357754307
0.8087669708551788,0.19123302914482126
0.7712889887542517,0.22871101124574844
0.762549963706113,0.23745003629388692
0.8173687887111801,0.18263121128881984
0.7674081092692118,0.23259189073078812
0.7619423319372507,0.2380576680627494
0.8081369452527852,0.1918630547472147
0.7664213135011776,0.2335786864988225
0.8005542547476696,0.19944574525233053
0.7921750103449853,0.20782498965501475
0.7901723324240655,0.2098276675759346
0.8906808850132512,0.10931911498674869
0.812233312322123,0.18776668767787694
0.7847938838212404,0.21520611617875965
0.7480195068824785,0.25198049311752163
0.8166494854560193,0.18335051454398044
0.8571197124401959,0.14288028755980423
0.8910948936591707,0.10890510634082926
0.8275731608306999,0.17242683916929996
0.8340391259174983,0.16596087408250162
0.7611824915404973,0.23881750845950267
0.8064892086840976,0.1935107913159025
0.7729307211187206,0.22706927888127929
0.8087657360480083,0.1912342639519916
0.8130214898907945,0.18697851010920558
0.8002515064497633,0.19974849355023666
0.8039763218101896,0.19602367818981037
0.7769601864283363,0.2230398135716638
0.8271729101000026,0.17282708989999748
0.8087643833125048,0.19123561668749528
0.807246337717057,0.19275366228294302
0.8087668982263089,0.1912331017736912
0.9092328293507445,0.09076717064925553
0.8706378047859483,0.1293621952140517
0.8255275686974028,0.1744724313025972
0.8259770966322784,0.17402290336772172
0.8133580139230779,0.18664198607692223
0.7998286703261085,0.20017132967389148
0.8435507021862507,0.1564492978137493
0.7714354922559243,0.22856450774407572
0.804507611336328,0.19549238866367205
0.8022721287154636,0.19772787128453645
0.864689912708225,0.13531008729177488
0.8642236133285525,0.1357763866714476
0.8552596149428263,0.14474038505717385
0.8769182249701959,0.12308177502980423
0.8131366937641574,0.18686330623584257
0.8257900613483542,0.17420993865164575
0.7841326101048839,0.21586738989511606
0.813398111433549,0.18660188856645107
0.8658541741038743,0.13414582589612564
0.7754190380409475,0.22458096195905244
0.779582843683405,0.22041715631659495
0.81736838609248,0.18263161390752003
0.7580514382338025,0.24194856176619775
0.7306680624283942,0.2693319375716057
0.8040903552440314,0.1959096447559686
0.7950567507173254,0.20494324928267454
