CT-8.2,CT-3
0.9731195393837587,0.02688046061624123
0.9795515643375563,0.020448435662443712
0.9260862884251309,0.07391371157486903
0.927255989539532,0.07274401046046804
0.908776786255823,0.09122321374417694
0.9535616970824243,0.04643830291757571
0.9335366438273774,0.06646335617262261
0.962894210827716,0.037105789172284145
0.9393176534611054,0.06068234653889463
0.929578718215244,0.07042128178475601
0.9437069435162875,0.056293056483712495
0.9331334304939507,0.06686656950604933
0.9204427427045541,0.07955725729544588
0.9735458724103604,0.026454127589639678
1.0,0.0
0.9788615840227761,0.021138415977223983
0.9535923321018959,0.046407667898104195
0.9398818664735576,0.06011813352644247
0.928368320156516,0.071631679843484
0.9606425853709681,0.03935741462903196
0.9315370304532153,0.06846296954678469
0.9499180796500927,0.05008192034990732
0.9314993356138777,0.06850066438612244
0.9476747217932755,0.05232527820672446
0.9668545923639387,0.033145407636061316
0.9612154495675362,0.03878455043246385
0.9430890422933241,0.05691095770667581
0.9249393829361975,0.07506061706380256
0.9434396012111034,0.056560398788896696
0.9278759912321716,0.0721240087678284
0.9310982897419757,0.06890171025802432
0.9332052621007677,0.06679473789923243
0.937791522278145,0.06220847772185498
0.944414076162731,0.055585923837269
0.9603226729306276,0.0396773270693725
0.9524551375309898,0.04754486246901022
0.9663069981393996,0.03369300186060048
0.9421787512280334,0.05782124877196663
0.9415490929628805,0.0584509070371195
0.9552361360093949,0.044763863990605085
0.9674911601446304,0.0325088398553697
0.9763793491862137,0.02362065081378633
0.9659747336508203,0.034025266349179725
0.9059867698150823,0.09401323018491772
0.9385346557046241,0.06146534429537594
0.9375355822864962,0.06246441771350382
0.9456926438184073,0.054307356181592666
0.9665368582018535,0.033463141798146516
0.9454827239698266,0.054517276030173464
0.9383494444588286,0.061650555541171444
0.9609199537874017,0.0390800462125984
0.9415141173085703,0.05848588269142968
0.93925055599167,0.060749444008329975
0.9801074069996091,0.01989259300039097
0.9546319572219905,0.04536804277800948
0.9249562255691685,0.07504377443083154
0.9855371433233641,0.014462856676636014
0.9536184837617415,0.04638151623825852
0.9593746563542783,0.04062534364572165
0.9739763362575914,0.026023663742408693
0.912210024577253,0.08778997542274704
0.948160493769867,0.051839506230133024
1.0,0.0
0.9788018990527848,0.021198100947215182
0.9335270527027845,0.06647294729721552
0.9662550112845065,0.033744988715493515
0.9388081106469317,0.061191889353068366
0.9606169989678374,0.03938300103216264
0.9442978010797639,0.05570219892023608
0.9043553833462339,0.09564461665376607
0.9665731483970907,0.03342685160290926
0.972454325630766,0.027545674369234108
0.9546056957094518,0.04539430429054833
0.9524748068200478,0.047525193179952234
0.9290820112773684,0.07091798872263141
0.9750374612480824,0.0249625387519177
0.9631724649059439,0.036827535094056014
0.9890443068698642,0.01095569313013579
0.9399583762606634,0.060041623739336594
0.9580457080346235,0.041954291965376506
0.9465263407529989,0.053473659247001114
0.9539587647785721,0.04604123522142791
0.9583361617534816,0.04166383824651851
0.9711720238719236,0.028827976128076464
0.9459648908982216,0.0540351091017784
0.9579204138647512,0.042079586135248745
0.9301399197997922,0.06986008020020788
0.9831260769743415,0.016873923025658474
0.9492108669709698,0.050789133029030244
0.9826399088344503,0.017360091165549645
0.9215916642309537,0.0784083357690462
0.9730588623843719,0.026941137615628035
0.9435831572697357,0.05641684273026433
0.9541825075635201,0.04581749243648
0.9285687089164963,0.07143129108350366
0.9554825608959602,0.04451743910403984
0.9615075885551545,0.0384924114448455
0.9552451954361714,0.044754804563828625
0.9732123868072877,0.026787613192712383
0.9734638777385154,0.02653612226148458
0.9134878690878395,0.08651213091216044
0.9530772494332522,0.04692275056674783
0.9999999999999999,1.1102230246251565e-16
0.9721154958659014,0.02788450413409865
0.9433393283844805,0.05666067161551942
0.9318111589880419,0.06818884101195805
0.9551428294307007,0.04485717056929929
0.9291401215257138,0.07085987847428622
