CT-8.2,CT-3
0.7263992761231819,0.27360072387681805
0.8381386044965365,0.16186139550346346
0.8605381972269901,0.13946180277301004
0.9251881894127394,0.07481181058726065
0.9324110409716879,0.06758895902831195
0.8167252753314651,0.1832747246685349
0.9350932062020677,0.06490679379793222
0.806449648183801,0.19355035181619898
0.9458177807375573,0.054182219262442724
0.8492879923407403,0.1507120076592598
0.7684994612900992,0.23150053870990064
0.8998792087151363,0.10012079128486383
0.8470417016476146,0.1529582983523854
0.9660455980590112,0.03395440194098891
0.9746766417393417,0.025323358260658287
0.9671496331401436,0.03285036685985645
0.9197138559738102,0.08028614402618987
0.8628267065236211,0.1371732934763788
0.833820260350417,0.16617973964958302
0.7522633021443977,0.24773669785560234
0.8068338473406514,0.1931661526593486
0.9323637884356999,0.06763621156430014
0.7737203546727076,0.22627964532729258
0.8087335640920127,0.1912664359079873
0.7831081038919264,0.21689189610807358
0.916464789407937,0.083535210592063
0.9249240411455619,0.07507595885443799
0.7770007018765365,0.2229992981234631
0.8435996728101249,0.15640032718987515
0.9282819476109219,0.0717180523890782
0.8877258552343412,0.1122741447656588
0.7893278025187594,0.21067219748124053
0.9237209953847492,0.0762790046152508
0.8357655773751309,0.16423442262486906
0.9133721113088165,0.08662788869118354
1.0,0.0
0.9006539199983511,0.09934608000164898
0.8219579231875641,0.1780420768124359
0.8150583930442541,0.18494160695574582
0.8313604441413954,0.16863955585860452
0.76846306715531,0.23153693284469
0.9449178628872361,0.055082137112763906
0.8058189996051758,0.19418100039482414
0.9087552934309624,0.09124470656903767
0.8387069112475425,0.16129308875245751
0.7545913715576796,0.24540862844232025
0.9020516134595178,0.09794838654048213
0.964117577173827,0.035882422826173044
0.8381399663757545,0.16186003362424572
0.8588023717508748,0.14119762824912513
0.8262597875833583,0.17374021241664178
0.8776742384079422,0.12232576159205792
0.8935301824084468,0.10646981759155325
0.9159022673267038,0.08409773267329629
0.9109343725045046,0.0890656274954955
0.9389667119252583,0.06103328807474184
0.9496848900025411,0.050315109997459154
0.9253319808822371,0.07466801911776295
0.8686913640282509,0.1313086359717492
0.8106626718091223,0.18933732819087773
0.8588803374523127,0.1411196625476871
0.8197376884814399,0.18026231151856012
0.84331602184647,0.1566839781535301
0.9201366883729686,0.07986331162703154
0.7847599381670842,0.21524006183291575
0.8810569178876042,0.11894308211239579
0.8475445203909089,0.1524554796090912
0.8533272989816373,0.14667270101836283
0.904901974728622,0.09509802527137799
0.7551026046652639,0.2448973953347362
0.8038755675152123,0.1961244324847878
0.8345432951462659,0.1654567048537339
0.8663136622218529,0.13368633777814712
0.8421103181437136,0.1578896818562865
0.9078659823968583,0.09213401760314176
0.9373412429477116,0.06265875705228845
0.7634706100251809,0.23652938997481907
0.8980928981414457,0.10190710185855421
0.7401374561174247,0.2598625438825755
0.7627698715368397,0.23723012846316013
0.8859298647934438,0.11407013520655625
0.8880011173258922,0.11199888267410789
0.8093548274085349,0.1906451725914651
0.9246414294674674,0.07535857053253257
0.9657620650647666,0.0342379349352334
0.81288180253861,0.1871181974613901
0.8175602372466416,0.18243976275335838
0.8769651768612426,0.12303482313875723
0.7287734088222468,0.2712265911777533
0.8791436464676886,0.12085635353231144
0.837259867274035,0.16274013272596505
0.7746094245856973,0.2253905754143027
0.897605531425728,0.10239446857427206
0.827548990557631,0.17245100944236896
0.843615641418749,0.15638435858125108
0.9529375326230028,0.04706246737699724
0.7940018776754628,0.2059981223245371
0.7467979362615945,0.2532020637384055
0.8396320527953636,0.1603679472046364
0.9422776699978155,0.05772233000218435
0.9204569964958862,0.07954300350411382
0.8875656518059428,0.11243434819405725
0.8547359742621017,0.14526402573789834
0.9331418184303663,0.06685818156963357
0.8386660094278552,0.161333990572145
0.8652355704027254,0.13476442959727464
0.8431018658849081,0.15689813411509201
0.8763137539646063,0.12368624603539372
0.9638918516313387,0.03610814836866129
0.7928668977347613,0.20713310226523865
0.8324314694567929,0.167568530543207
0.9084493303100931,0.0915506696899068
0.9121869037321918,0.08781309626780821
0.9812868984663652,0.01871310153363476
