CT-7,CT-1
0.31888951505375784,0.6811104849462422
0.3936056593377858,0.6063943406622142
0.09506069260800987,0.9049393073919901
0.08643677271609668,0.9135632272839034
0.24054921326909318,0.7594507867309068
0.26339067058815746,0.7366093294118425
0.4424625447516645,0.5575374552483355
0.23750331483562012,0.7624966851643799
0.1795149696471128,0.8204850303528872
0.34478666239106004,0.65521333760894
0.24638687049034866,0.7536131295096513
0.2931818220873525,0.7068181779126474
0.29151333726032513,0.708486662739675
0.25418645273174023,0.7458135472682598
0.44435884938779674,0.5556411506122032
0.39330014894007753,0.6066998510599224
0.406519584021899,0.5934804159781009
1.734723475976807e-18,1.0
0.3437224758422021,0.6562775241577979
0.2593652942990666,0.7406347057009335
0.08487400404390273,0.9151259959560972
0.1396962097564486,0.8603037902435514
0.5681891497619904,0.43181085023800964
0.11625749407900576,0.8837425059209942
0.45889209549713805,0.541107904502862
0.4725805362765266,0.5274194637234735
0.37853429071213984,0.6214657092878602
0.6164480792241631,0.38355192077583694
0.26095604915715126,0.7390439508428487
0.22329537030482743,0.7767046296951726
0.2073577259685498,0.7926422740314503
0.3596545756585279,0.6403454243414722
0.29435573728755987,0.7056442627124403
0.32909015996770424,0.6709098400322958
0.30064650036107876,0.6993534996389212
0.34483768535800974,0.6551623146419904
0.4617234390087407,0.5382765609912593
0.0040689830201501576,0.9959310169798499
0.4510364533545221,0.548963546645478
0.2661036140527744,0.7338963859472256
0.3066146472678341,0.693385352732166
0.10837034228771458,0.8916296577122855
0.28970282448176105,0.710297175518239
0.324686029213735,0.6753139707862651
0.35411117817278637,0.6458888218272135
0.05341428192820207,0.9465857180717979
0.1809937916834172,0.8190062083165829
0.16612932819407034,0.8338706718059297
0.02063119216692213,0.9793688078330779
0.33097916696951357,0.6690208330304864
0.41391062080001356,0.5860893791999864
0.3042874214015323,0.6957125785984677
0.6003622367738478,0.3996377632261522
0.19704239304413698,0.802957606955863
0.04833064185094984,0.9516693581490503
0.44314097623998183,0.5568590237600182
0.41177411848015555,0.5882258815198445
0.27244432053355905,0.727555679466441
0.2733345488949717,0.7266654511050282
0.33374938134865995,0.66625061865134
0.3870797838361467,0.6129202161638533
0.22988924629677004,0.77011075370323
0.3810716846277262,0.6189283153722738
0.27298705318273414,0.7270129468172659
0.2939286391186368,0.7060713608813632
0.18244868261581015,0.8175513173841898
0.273798949804516,0.726201050195484
0.027028198112052197,0.9729718018879479
0.1492156269650609,0.850784373034939
0.03246526929950501,0.967534730700495
0.14937079756891208,0.8506292024310879
0.22218199881546075,0.7778180011845393
0.33911052067447883,0.6608894793255212
0.27753105968054537,0.7224689403194547
0.16387172803600722,0.8361282719639928
0.21613750354152772,0.7838624964584723
